,Unnamed: 0,ticker,time,volume,bid_o,bid_h,bid_l,bid_c,mid_o,mid_h,mid_l,mid_c,ask_o,ask_h,ask_l,ask_c,RANGE,mid_h_prev,mid_l_prev,ask_h_prev,bid_l_prev,RANGE_prev,DIRECTION,DIRECTION_prev,SIGNAL,ENTRY,STOPLOSS,TAKEPROFIT
864,865,USD_JPY,2020-07-22T01:00:00.000000000Z,8706,106.827,106.868,106.705,106.863,106.835,106.875,106.712,106.869,106.843,106.882,106.719,106.875,0.1629999999999967,106.892,106.761,106.9,106.711,0.13100000000000023,1,1,1,106.9131,106.8607,107.0179
887,888,USD_JPY,2020-07-27T21:00:00.000000000Z,6857,105.348,105.398,105.214,105.321,105.398,105.433,105.221,105.328,105.448,105.479,105.228,105.336,0.2120000000000033,105.452,105.272,105.463,105.265,0.1799999999999926,-1,1,1,105.481,105.40899999999999,105.62499999999999
893,894,USD_JPY,2020-07-28T21:00:00.000000000Z,5001,105.038,105.143,104.95,105.121,105.088,105.156,104.958,105.128,105.138,105.206,104.965,105.136,0.1980000000000075,105.188,104.995,105.208,104.988,0.19299999999999784,1,1,1,105.2273,105.1501,105.3817
921,922,USD_JPY,2020-08-04T13:00:00.000000000Z,21124,106.161,106.174,105.721,105.748,106.168,106.18,105.728,105.754,106.174,106.187,105.735,105.76,0.4520000000000124,106.196,105.877,106.203,105.871,0.3190000000000026,-1,1,1,106.23490000000001,106.10730000000001,106.49010000000001
929,930,USD_JPY,2020-08-05T21:00:00.000000000Z,4820,105.516,105.611,105.453,105.529,105.566,105.632,105.46,105.536,105.616,105.677,105.468,105.543,0.17200000000001125,105.677,105.478,105.684,105.471,0.19900000000001228,-1,1,1,105.7039,105.6243,105.86310000000002
945,946,USD_JPY,2020-08-10T13:00:00.000000000Z,18960,105.991,105.996,105.702,105.846,105.998,106.002,105.71,105.852,106.005,106.01,105.717,105.858,0.2920000000000016,106.204,105.912,106.212,105.904,0.2919999999999874,-1,1,1,106.2412,106.12440000000001,106.4748
950,951,USD_JPY,2020-08-11T09:00:00.000000000Z,17479,106.093,106.152,105.924,105.965,106.1,106.158,105.93,105.972,106.107,106.165,105.937,105.978,0.22799999999999443,106.241,106.057,106.251,106.05,0.1839999999999975,-1,1,1,106.2694,106.1958,106.4166
959,960,USD_JPY,2020-08-12T21:00:00.000000000Z,4741,106.837,106.879,106.669,106.687,106.887,106.894,106.677,106.694,106.937,106.944,106.683,106.701,0.21699999999999875,106.918,106.78,106.959,106.77,0.13800000000000523,-1,1,1,106.9728,106.91760000000001,107.0832
961,962,USD_JPY,2020-08-13T05:00:00.000000000Z,14402,106.782,106.784,106.56,106.739,106.79,106.792,106.568,106.746,106.798,106.799,106.574,106.752,0.22400000000000375,106.793,106.604,106.8,106.594,0.18900000000000716,-1,1,1,106.8189,106.74329999999999,106.9701
966,967,USD_JPY,2020-08-14T01:00:00.000000000Z,6478,106.951,106.994,106.851,106.873,106.958,107.001,106.858,106.879,106.964,107.008,106.865,106.885,0.14300000000000068,107.041,106.903,107.048,106.853,0.13799999999999102,-1,1,1,107.0618,107.0066,107.1722
973,974,USD_JPY,2020-08-17T05:00:00.000000000Z,11083,106.588,106.611,106.395,106.476,106.595,106.617,106.402,106.482,106.602,106.623,106.41,106.488,0.2150000000000034,106.62,106.46,106.627,106.453,0.1600000000000108,-1,1,1,106.643,106.579,106.77100000000002
1008,1009,USD_JPY,2020-08-25T01:00:00.000000000Z,8504,105.991,106.037,105.866,105.982,105.997,106.044,105.873,105.988,106.003,106.05,105.88,105.995,0.17099999999999227,106.054,105.934,106.061,105.927,0.12000000000000455,-1,1,1,106.07300000000001,106.025,106.16900000000001
1017,1018,USD_JPY,2020-08-26T13:00:00.000000000Z,18216,106.394,106.421,105.994,106.001,106.401,106.428,106.0,106.007,106.408,106.434,106.007,106.013,0.42799999999999727,106.466,106.189,106.473,106.182,0.277000000000001,-1,1,1,106.5007,106.3899,106.72229999999999
1027,1028,USD_JPY,2020-08-28T05:00:00.000000000Z,37643,106.697,106.731,105.841,105.856,106.703,106.738,105.848,105.862,106.709,106.745,105.855,105.869,0.8900000000000006,106.948,106.606,106.955,106.6,0.34199999999999875,-1,1,1,106.9892,106.8524,107.2628
1049,1050,USD_JPY,2020-09-02T21:00:00.000000000Z,5565,106.146,106.257,106.025,106.223,106.186,106.265,106.075,106.23,106.226,106.273,106.125,106.237,0.18999999999999773,106.303,106.164,106.31,106.156,0.1389999999999958,1,1,1,106.32390000000001,106.26830000000001,106.4351
1053,1054,USD_JPY,2020-09-03T13:00:00.000000000Z,25788,106.382,106.432,106.017,106.102,106.389,106.438,106.024,106.109,106.396,106.444,106.032,106.116,0.4140000000000015,106.552,106.232,106.559,106.225,0.3200000000000074,-1,1,1,106.591,106.463,106.847
1073,1074,USD_JPY,2020-09-08T21:00:00.000000000Z,8594,105.976,106.044,105.822,105.978,106.026,106.052,105.83,105.984,106.076,106.076,105.838,105.991,0.2220000000000084,106.076,105.915,106.082,105.908,0.16099999999998715,-1,1,1,106.09809999999999,106.0337,106.22689999999997
1088,1089,USD_JPY,2020-09-11T09:00:00.000000000Z,10476,106.228,106.245,106.124,106.149,106.234,106.252,106.13,106.154,106.24,106.258,106.137,106.16,0.12199999999999989,106.266,106.151,106.275,106.145,0.1150000000000091,-1,1,1,106.2865,106.2405,106.37850000000002
1090,1091,USD_JPY,2020-09-11T17:00:00.000000000Z,6513,106.154,106.193,106.051,106.145,106.161,106.2,106.058,106.168,106.168,106.231,106.064,106.19,0.1419999999999959,106.212,106.087,106.219,106.082,0.125,1,1,1,106.2315,106.1815,106.33149999999999
1092,1093,USD_JPY,2020-09-14T01:00:00.000000000Z,6013,106.136,106.151,106.006,106.046,106.142,106.158,106.013,106.052,106.148,106.165,106.02,106.058,0.14499999999999602,106.166,106.093,106.183,106.052,0.07299999999999329,-1,1,1,106.19030000000001,106.1611,106.2487
