,time,ticker,mid_o,mid_h,mid_l,mid_c,MA_8,MA_16,MA_32,MA_64,MA_128,MA_256
3617,2023-06-22T13:00:00.000000000Z,EUR_USD,1.09824,1.09852,1.09682,1.09812,1.0939590909090908,1.0939590909090908,1.0939590909090908,1.0939590909090908,1.0939590909090908,1.0939590909090908
3618,2023-06-22T14:00:00.000000000Z,EUR_USD,1.09812,1.09892,1.09584,1.09592,1.0939578787878788,1.0939578787878788,1.0939578787878788,1.0939578787878788,1.0939578787878788,1.0939578787878788
3619,2023-06-22T15:00:00.000000000Z,EUR_USD,1.09592,1.09668,1.09522,1.09527,1.093959595959596,1.093959595959596,1.093959595959596,1.093959595959596,1.093959595959596,1.093959595959596
3620,2023-06-22T16:00:00.000000000Z,EUR_USD,1.09526,1.0957,1.09485,1.09546,1.093960808080808,1.093960808080808,1.093960808080808,1.093960808080808,1.093960808080808,1.093960808080808
3621,2023-06-22T17:00:00.000000000Z,EUR_USD,1.09548,1.09582,1.095,1.09573,1.0939931313131313,1.0939931313131313,1.0939931313131313,1.0939931313131313,1.0939931313131313,1.0939931313131313
3622,2023-06-22T18:00:00.000000000Z,EUR_USD,1.09576,1.09604,1.09511,1.09591,1.0940283838383837,1.0940283838383837,1.0940283838383837,1.0940283838383837,1.0940283838383837,1.0940283838383837
3623,2023-06-22T19:00:00.000000000Z,EUR_USD,1.09592,1.09617,1.09544,1.09582,1.0940529292929293,1.0940529292929293,1.0940529292929293,1.0940529292929293,1.0940529292929293,1.0940529292929293
3624,2023-06-22T20:00:00.000000000Z,EUR_USD,1.09583,1.09586,1.09532,1.09558,1.094069494949495,1.094069494949495,1.094069494949495,1.094069494949495,1.094069494949495,1.094069494949495
3625,2023-06-22T21:00:00.000000000Z,EUR_USD,1.09584,1.09594,1.09552,1.09563,1.0940813131313132,1.0940813131313132,1.0940813131313132,1.0940813131313132,1.0940813131313132,1.0940813131313132
3626,2023-06-22T22:00:00.000000000Z,EUR_USD,1.09563,1.09563,1.09528,1.09534,1.0940996969696968,1.0940996969696968,1.0940996969696968,1.0940996969696968,1.0940996969696968,1.0940996969696968
3627,2023-06-22T23:00:00.000000000Z,EUR_USD,1.09537,1.09577,1.09534,1.09555,1.0941137373737373,1.0941137373737373,1.0941137373737373,1.0941137373737373,1.0941137373737373,1.0941137373737373
3628,2023-06-23T00:00:00.000000000Z,EUR_USD,1.09555,1.09587,1.09528,1.09553,1.094128383838384,1.094128383838384,1.094128383838384,1.094128383838384,1.094128383838384,1.094128383838384
3629,2023-06-23T01:00:00.000000000Z,EUR_USD,1.09552,1.09562,1.09458,1.09468,1.0941322222222223,1.0941322222222223,1.0941322222222223,1.0941322222222223,1.0941322222222223,1.0941322222222223
3630,2023-06-23T02:00:00.000000000Z,EUR_USD,1.09468,1.09468,1.09322,1.09386,1.09413101010101,1.09413101010101,1.09413101010101,1.09413101010101,1.09413101010101,1.09413101010101
3631,2023-06-23T03:00:00.000000000Z,EUR_USD,1.09386,1.09406,1.09348,1.09358,1.09413,1.09413,1.09413,1.09413,1.09413,1.09413
3632,2023-06-23T04:00:00.000000000Z,EUR_USD,1.09357,1.0937,1.09288,1.09332,1.0941263636363636,1.0941263636363636,1.0941263636363636,1.0941263636363636,1.0941263636363636,1.0941263636363636
3633,2023-06-23T05:00:00.000000000Z,EUR_USD,1.09331,1.09341,1.09273,1.09326,1.0941225252525253,1.0941225252525253,1.0941225252525253,1.0941225252525253,1.0941225252525253,1.0941225252525253
